Throughput,Latency
80852,395.7513333333333  
82182,389.25333333333333  
3645,8697.943  
25280,1264.9890000000003  
67101,476.73566666666665  
75395,424.326  
32606,980.808  
29409,1087.5866666666668  
67238,475.7966666666666  
82244,388.972  
81474,392.641  
82290,388.74966666666666  
4420,7196.3646666666655  
4469,7119.593666666668  
73398,435.843  
74828,427.5493333333333  
2831,11215.773000000001  
81491,392.565  
81145,394.2326666666667  
68002,470.435  
81443,392.809  
76996,415.4603333333334  
80912,395.3866666666667  
81387,393.076  
81050,394.7463333333333  
80403,397.9946666666667  
80996,394.9756666666667  
81416,392.9243333333334  
79475,402.58566666666667  
80901,395.4386666666666  
77706,411.728  
82079,389.75  
81811,391.01399999999995  
71562,447.04466666666667  
81879,390.7  
81350,393.25800000000004  
81901,390.627  
82912,385.8333333333333  
81260,393.7163333333333  
81250,393.7146666666667  
81187,394.05600000000004  
81867,390.7763333333334  
1995,15745.897333333334  
72118,443.587  
81933,390.471  
82004,390.1223333333334  
77481,412.89000000000004  
81389,393.0926666666667  
30014,1065.567  
43096,742.2013333333334  
82554,387.5206666666666  
39330,813.1413333333334  
68587,466.38533333333334  
78573,407.1580000000001  
74868,427.3023333333333  
62072,515.319  
83147,384.7526666666667  
74413,429.9123333333334  
83096,384.98566666666665  
79386,402.9916666666666  
1995,15742.046333333334  
82941,385.686  
67503,473.921  
82711,386.76666666666665  
50461,633.9816666666667  
83700,382.18833333333333  
80766,396.14000000000004  
84001,380.81866666666673  
29661,1078.2116666666668  
83097,384.9676666666666  
68940,464.0143333333333  
59291,539.518  
68872,464.4596666666667  
81453,392.7383333333333  
83162,384.6689999999999  
79923,400.31466666666665  
79601,401.914  
73533,435.0596666666667  
83108,384.9246666666666  
82826,386.2323333333334  
82945,385.67800000000005  
83128,384.8313333333333  
81951,390.3566666666666  
81434,392.839  
74251,430.873  
82797,386.41  
2603,13245.115666666667  
25267,1265.581  
82227,389.06466666666665  
82465,387.9333333333334  
49782,642.5496666666667  
82424,388.11633333333333  
82339,388.5249999999999  
80980,395.117  
81706,391.5156666666667  
80075,399.526  
80304,398.36266666666666  
67374,474.80266666666665  
80596,396.9316666666667  
53747,595.1666666666666  