dbms-memory-heap-max_size,dbms-memory-pagecache-size,dbms-memory-off_heap-max_size,dbms-tx_state-memory_allocation,dbms-memory-pagecache-flush-buffer-enabled,dbms-memory-pagecache-flush-buffer-size_in_pages,dbms-jvm-additional-1,dbms-jvm-additional-2,Throughput,Timestamp
24100,28000,2.0,OFF_HEAP,false,16,-XX:+UseG1GC,,-8.146666666666667,1667426.0
32100,28000,2.0,ON_HEAP,false,64,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.14,9359028.0
32100,32000,4.0,ON_HEAP,true,1,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.32,11094050.0
36100,20000,1.0,ON_HEAP,true,16,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.213333333333333,12808337.0
40100,32000,2.0,ON_HEAP,false,2,-XX:+UseParallelGC,,0.0,18808571.0
40100,8000,2.0,ON_HEAP,false,64,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.266666666666666,20469604.0
16100,40000,2.0,OFF_HEAP,false,2,-XX:+UseSerialGC,,-8.136666666666665,22209125.0
4100,36000,1.0,OFF_HEAP,false,256,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.293333333333331,23898123.0
24100,28000,0.5,OFF_HEAP,false,1,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.116666666666667,25607424.0
32100,12000,3.0,OFF_HEAP,false,4,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.22,27336942.0
28100,20000,1.5,ON_HEAP,true,4,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-7.53,53309338.0
16100,32000,1.0,ON_HEAP,true,4,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-7.77,55267389.0
36100,8000,0.5,OFF_HEAP,false,2,-XX:+UseG1GC,-XX:SurvivorRatio=2,-7.763333333333333,57328719.0
4100,40000,3.0,OFF_HEAP,false,512,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-7.876666666666666,65230978.0
32100,20000,2.0,OFF_HEAP,true,64,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.296666666666667,72887171.0
24100,20000,2.5,OFF_HEAP,true,16,-XX:+UseSerialGC,-XX:SurvivorRatio=8,-8.12,74597198.0
8100,32000,2.5,ON_HEAP,true,256,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.26,76247828.0
16100,24000,3.5,OFF_HEAP,false,64,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.05,77970269.0
4100,24000,4.0,ON_HEAP,false,2,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.1,79626220.0
24100,24000,3.0,OFF_HEAP,false,32,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.18,81342698.0
28100,28000,4.5,OFF_HEAP,true,64,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.27,83051806.0
8100,4000,3.5,OFF_HEAP,false,8,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.45,84701380.0
28100,4000,4.5,ON_HEAP,false,64,-XX:+UseG1GC,,-8.27,86344780.0
20100,32000,1.0,ON_HEAP,false,256,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-7.98,88058866.0
16100,32000,0.5,ON_HEAP,false,1,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.28,89735710.0
16100,24000,4.5,OFF_HEAP,false,1,-XX:+UseParallelGC,,-8.31,91409551.0
32100,28000,3.0,ON_HEAP,true,2,-XX:+UseSerialGC,-XX:SurvivorRatio=4,0,92284731.0
24100,28000,1.0,OFF_HEAP,true,1,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.19,93955469.0
36100,24000,1.5,OFF_HEAP,false,32,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.21,95743913.0
4100,12000,4.0,OFF_HEAP,true,8,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.22,97388627.0
32100,20000,2.5,ON_HEAP,true,64,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.27,99147515.0
24100,32000,0.5,ON_HEAP,true,512,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.11,100880267.0
36100,16000,3.5,ON_HEAP,false,128,-XX:+UseSerialGC,-XX:SurvivorRatio=8,-8.08,102691797.0
32100,28000,2.0,OFF_HEAP,false,2,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.36,104403662.0
28100,36000,4.5,OFF_HEAP,true,8,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.14,106151600.0
24100,4000,3.5,OFF_HEAP,true,64,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.19,107822914.0
8100,28000,2.5,OFF_HEAP,true,1,-XX:+UseSerialGC,,-8.02,109532956.0
12100,36000,2.0,OFF_HEAP,false,1,-XX:+UseG1GC,,-8.31,111215817.0
28100,8000,3.5,ON_HEAP,false,512,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.15,112932748.0
32100,28000,3.5,ON_HEAP,true,2,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.15,114668138.0
4100,24000,3.5,OFF_HEAP,true,4,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.16,116355082.0
32100,36000,2.5,ON_HEAP,false,256,-XX:+UseParallelGC,-XX:SurvivorRatio=4,0,116655099.0
8100,28000,4.5,ON_HEAP,true,4,-XX:+UseSerialGC,,-8.14,118319796.0
8100,28000,2.5,ON_HEAP,true,64,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.22,120001758.0
32100,8000,1.0,OFF_HEAP,true,32,-XX:+UseSerialGC,,-8.07,121718969.0
12100,20000,3.0,ON_HEAP,true,512,-XX:+UseParallelGC,,-8.46,123388280.0
4100,24000,0.5,ON_HEAP,true,4,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.3,125071269.0
32100,24000,2.5,ON_HEAP,true,4,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.43,126789306.0
24100,16000,3.5,ON_HEAP,false,128,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.35,128488959.0
24100,20000,3.5,ON_HEAP,true,2,-XX:+UseSerialGC,,-8.01,130218458.0
4100,8000,3.5,ON_HEAP,true,4,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.14,131863807.0
4100,4000,4.5,OFF_HEAP,true,8,-XX:+UseParallelGC,,-8.3,133519820.0
4100,16000,4.0,OFF_HEAP,false,8,-XX:+UseG1GC,,-8.18,135171016.0
12100,36000,3.5,ON_HEAP,true,4,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.21,136883523.0
36100,12000,3.5,ON_HEAP,false,128,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.25,138606847.0
8100,24000,4.5,ON_HEAP,false,32,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.29,140310510.0
32100,28000,2.0,OFF_HEAP,false,128,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.37,142037490.0
28100,4000,4.0,ON_HEAP,false,32,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.32,143709760.0
24100,4000,3.0,ON_HEAP,true,16,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.23,145362029.0
4100,4000,3.0,ON_HEAP,true,16,-XX:+UseSerialGC,-XX:SurvivorRatio=8,-8.11,147066450.0
24100,20000,0.5,ON_HEAP,true,16,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.34,148783003.0
20100,32000,4.5,OFF_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.46,150458698.0
4100,12000,1.5,OFF_HEAP,false,8,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.14,152178439.0
4100,8000,4.5,OFF_HEAP,false,128,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.05,153914719.0
32100,24000,2.5,ON_HEAP,true,16,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.28,155629635.0
12100,28000,1.5,OFF_HEAP,false,128,-XX:+UseParallelGC,,-8.45,157314486.0
8100,12000,1.0,ON_HEAP,false,8,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.19,159037369.0
4100,12000,4.0,OFF_HEAP,false,32,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.17,160680913.0
28100,24000,1.0,ON_HEAP,false,8,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.21,162439868.0
20100,4000,3.0,OFF_HEAP,true,1,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.02,164145521.0
12100,16000,1.5,OFF_HEAP,false,128,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.32,165824190.0
20100,20000,1.5,ON_HEAP,true,4,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.31,167513243.0
8100,12000,4.5,ON_HEAP,false,8,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.28,169179016.0
28100,12000,1.0,OFF_HEAP,true,16,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.37,170845390.0
24100,4000,4.5,ON_HEAP,true,1,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.25,172490596.0
16100,32000,1.0,ON_HEAP,true,512,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.39,174164178.0
28100,12000,1.5,OFF_HEAP,false,16,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.21,175847238.0
16100,24000,0.5,ON_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.28,177562541.0
4100,12000,1.5,OFF_HEAP,true,64,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.23,179224313.0
4100,4000,2.5,OFF_HEAP,true,4,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.25,180868047.0
4100,28000,1.0,ON_HEAP,false,4,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.15,182558803.0
8100,8000,0.5,ON_HEAP,false,1,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.33,184211721.0
36100,20000,4.5,OFF_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.39,185933178.0
32100,24000,4.5,OFF_HEAP,true,2,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.23,187670147.0
36100,28000,3.5,OFF_HEAP,true,32,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.28,189414973.0
12100,36000,4.5,OFF_HEAP,true,16,-XX:+UseSerialGC,,-8.19,191148984.0
4100,4000,0.5,OFF_HEAP,true,4,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.29,192800822.0
28100,12000,3.5,OFF_HEAP,true,1,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.21,194505297.0
4100,28000,4.5,ON_HEAP,true,2,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.22,196227156.0
32100,32000,4.0,OFF_HEAP,true,512,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.1,197980152.0
36100,12000,2.0,OFF_HEAP,true,2,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.31,199725134.0
36100,16000,4.5,ON_HEAP,true,32,-XX:+UseParallelGC,,-8.29,201493920.0
20100,12000,1.5,ON_HEAP,true,16,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.24,203194553.0
32100,8000,4.5,ON_HEAP,true,8,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.32,204903239.0
12100,8000,4.5,ON_HEAP,false,4,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.16,206622747.0
24100,4000,0.5,ON_HEAP,true,2,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.45,208271621.0
16100,16000,4.0,ON_HEAP,true,128,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.35,210003589.0
12100,12000,1.0,OFF_HEAP,false,1,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.41,211670225.0
12100,16000,4.5,OFF_HEAP,true,8,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.25,213358540.0
24100,4000,3.0,OFF_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.33,215024068.0
20100,36000,3.5,ON_HEAP,false,256,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.32,216711878.0
4100,16000,4.0,ON_HEAP,true,512,-XX:+UseSerialGC,,-8.06,218453394.0
4100,28000,1.5,OFF_HEAP,true,256,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.34,220107787.0
8100,12000,3.5,ON_HEAP,false,16,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.35,221793691.0
4100,28000,3.0,OFF_HEAP,false,128,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.16,223472991.0
24100,12000,1.5,OFF_HEAP,false,32,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.4,225203989.0
32100,20000,2.0,ON_HEAP,false,1,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.43,226928201.0
8100,16000,1.5,ON_HEAP,false,128,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.37,228612486.0
32100,36000,4.5,ON_HEAP,false,256,-XX:+UseParallelGC,-XX:SurvivorRatio=4,0,228912495.0
20100,16000,1.0,OFF_HEAP,true,128,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.16,230572044.0
36100,8000,3.5,ON_HEAP,false,16,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.25,232333383.0
12100,32000,4.5,ON_HEAP,true,2,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.29,234020583.0
4100,20000,2.0,ON_HEAP,true,512,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.28,235707834.0
28100,28000,2.0,ON_HEAP,false,4,-XX:+UseG1GC,,-8.43,237427653.0
28100,16000,2.5,ON_HEAP,false,256,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.33,239184911.0
28100,8000,4.5,ON_HEAP,true,8,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.47,240934300.0
36100,12000,1.0,OFF_HEAP,false,4,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.3,242683529.0
16100,8000,1.0,ON_HEAP,false,128,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.28,244374310.0
36100,36000,3.0,OFF_HEAP,false,8,-XX:+UseG1GC,-XX:SurvivorRatio=4,0,244674327.0
4100,12000,3.0,OFF_HEAP,false,2,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.15,246281245.0
16100,12000,0.5,ON_HEAP,false,8,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.48,247936789.0
20100,16000,1.0,ON_HEAP,false,2,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.32,249637946.0
8100,28000,1.5,ON_HEAP,false,32,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.34,251324928.0
20100,32000,3.0,OFF_HEAP,false,512,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.34,253024837.0
28100,4000,2.0,ON_HEAP,true,2,-XX:+UseParallelGC,,-8.41,254693918.0
4100,36000,1.5,OFF_HEAP,true,8,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.2,256374344.0
4100,12000,4.0,OFF_HEAP,false,32,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.35,258042114.0
8100,28000,3.5,ON_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.2,259733803.0
32100,36000,0.5,OFF_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=8,0,260033820.0
36100,8000,4.0,ON_HEAP,true,32,-XX:+UseSerialGC,,-8.12,261737813.0
28100,16000,0.5,ON_HEAP,true,2,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.34,263450704.0
24100,12000,4.5,OFF_HEAP,true,512,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.2,265203160.0
12100,4000,4.0,OFF_HEAP,true,1,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.14,266946049.0
12100,36000,3.0,ON_HEAP,false,2,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.09,268701772.0
12100,20000,1.0,OFF_HEAP,true,16,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.08,270445549.0
32100,4000,3.0,OFF_HEAP,true,16,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.26,272114050.0
20100,8000,4.5,OFF_HEAP,false,32,-XX:+UseSerialGC,-XX:SurvivorRatio=8,-8.07,273826706.0
20100,16000,4.0,OFF_HEAP,true,16,-XX:+UseSerialGC,-XX:SurvivorRatio=2,-8.14,275568944.0
20100,16000,3.0,ON_HEAP,true,256,-XX:+UseSerialGC,,-8.02,277278881.0
16100,32000,1.0,OFF_HEAP,true,256,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.21,279004733.0
4100,24000,3.5,ON_HEAP,false,1,-XX:+UseParallelGC,,-8.35,280691024.0
24100,28000,1.5,OFF_HEAP,false,1,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.34,282400751.0
16100,16000,1.5,OFF_HEAP,false,512,-XX:+UseG1GC,,-8.24,284119489.0
28100,8000,3.5,OFF_HEAP,true,32,-XX:+UseSerialGC,,-8.13,285865258.0
32100,28000,3.5,OFF_HEAP,false,1,-XX:+UseG1GC,,-8.41,287649240.0
32100,8000,4.5,ON_HEAP,true,128,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.28,289381351.0
4100,20000,0.5,ON_HEAP,true,512,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.22,291115713.0
36100,28000,1.0,OFF_HEAP,false,512,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.32,292906680.0
8100,24000,2.0,OFF_HEAP,true,128,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.06,294675555.0
20100,20000,1.0,OFF_HEAP,true,64,-XX:+UseSerialGC,-XX:SurvivorRatio=4,-8.14,296455453.0
20100,36000,3.5,OFF_HEAP,true,16,-XX:+UseSerialGC,,-8.23,298235114.0
24100,36000,4.5,ON_HEAP,true,64,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.27,299986067.0
36100,20000,4.5,ON_HEAP,false,16,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.22,301829185.0
36100,36000,3.0,OFF_HEAP,false,256,-XX:+UseG1GC,,0,302129199.0
32100,28000,0.5,OFF_HEAP,true,512,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.37,303832367.0
16100,12000,4.5,OFF_HEAP,true,128,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.33,305551639.0
12100,32000,4.0,OFF_HEAP,false,16,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.25,307269899.0
24100,12000,3.5,OFF_HEAP,false,32,-XX:+UseSerialGC,-XX:SurvivorRatio=8,-8.03,309016563.0
12100,16000,1.0,ON_HEAP,false,1,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.46,310761930.0
4100,36000,0.5,OFF_HEAP,false,16,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.34,312523960.0